Player,Team,Position,PTS_final,REB_final,AST_final,PTS_adj,REB_adj,AST_adj,PTS_bonus,REB_bonus,AST_bonus,TS%,eFG%,USG_proxy,MPG,PTS_playoff_x,REB_playoff_x,AST_playoff_x,MPG_playoff_x,PTS_playoff_y,REB_playoff_y,AST_playoff_y,MPG_playoff_y,PTS_playoff,REB_playoff,AST_playoff,MPG_playoff
Kelly Oubre Jr.,PHI,F,16.92495801242236,6.053142857142858,1.8197142857142856,8.331695239751554,2.9797971428571435,0.8957957142857141,0.0,0.0,0.0,0.569,0.5369458128078818,0.1525396825396825,7.825285714285714,,,,,,,,,,,,
Michael Porter Jr.,DEN,F,18.21186782608696,7.599428571428572,2.206285714285714,13.52315584347826,5.351591428571428,1.3960942857142855,0.0,0.0,0.0,0.601,0.5654450261780105,0.1437301587301587,7.373357142857142,3.0,4.0,0.0,,15.0,15.0,1.0,,14.0,2.0,1.0,
Lauri Markkanen,UTA,F-C,16.32877714285714,5.525142857142856,0.9145714285714286,8.038211657142858,2.719877142857142,0.45021857142857136,0.0,0.0,0.0,0.528,0.5022222222222222,0.1287301587301587,6.603857142857141,,,,,,,,,,,,
Zaccharie Risacher,ATL,F,16.81125763975156,3.592285714285715,1.2728571428571431,8.275723647204973,1.7683842857142857,0.6265928571428572,0.0,0.0,0.0,0.624,0.6096256684491979,0.1098809523809523,5.636892857142856,,,,,,,,,,,,
Naji Marshall,DAL,F,16.707920496894413,5.826857142857143,3.6677142857142857,8.224853590062114,2.868402857142857,1.8055157142857143,0.0,0.0,0.0,0.59,0.5654450261780105,0.1369444444444444,7.02525,,,,,,,,,,,,
Jaden Ivey,DET,G,17.886852670807457,3.9222857142857146,3.799714285714286,8.805209746583854,1.930834285714286,1.8704957142857144,0.0,0.0,0.0,0.603,0.5775401069518716,0.1207142857142857,6.192642857142858,,,,,,,,,,,,
Dillon Brooks,HOU,F-G,16.575215403726713,3.3282857142857143,2.055428571428572,17.348676491925467,3.1263742857142858,1.6771314285714285,0.0,0.0,0.0,0.613,0.5979381443298969,0.1309523809523809,6.717857142857142,11.0,3.0,2.0,,16.0,3.0,1.0,,24.0,1.0,2.0,
Jordan Clarkson,UTA,G,15.546123726708077,2.9794285714285715,3.696,7.652932725465838,1.4666914285714276,1.8194400000000002,0.0,0.0,0.0,0.543,0.5048780487804878,0.1109920634920634,5.693892857142858,,,,,,,,,,,,
Scottie Barnes,TOR,G-F,14.261706335403728,7.043142857142858,4.789714285714284,7.020649073291926,3.467147142857143,2.3578457142857134,0.0,0.0,0.0,0.484,0.4417040358744394,0.1221825396825396,6.267964285714286,,,,,,,,,,,,
Norman Powell,LAC,G,18.16346236024845,2.5739999999999994,1.810285714285714,13.353177152795032,2.4250599999999993,2.0317542857142854,0.0,0.0,0.0,0.564,0.5309278350515464,0.1291269841269841,6.624214285714282,12.0,3.0,4.0,,13.0,0.0,3.0,,12.0,4.0,3.0,
